"","PRICE","BUILD_YEAR","CBD_DIST","NEAREST_STN_DIST","NEAREST_SCH_DIST","Precio_M2_total","SEG_BUILD_YEAR","SEG_CBD_DIST","SEG_NEAREST_STN_DIST","SEG_NEAREST_SCH_DIST","SEG_Precio_M2_total","SEG_Precio"
"71",528,2008,24.1,4.9,2.75729878838931,852.988691437803,"2010","20-29","4-5","2-3","501-1000","501-750"
"73",735,1982,18.7,8.5,2.96415043055216,378.865979381443,"2000","10-19","6-10","2-3","2-500","501-750"
"74",442.5,2005,15.4,6.4,0.908079119988781,836.48393194707,"2010","10-19","6-10","<=1","501-1000","<=500"
"75",1015,2003,18.6,3.9,1.17734603026209,2030,"2010","10-19","4-5","2-3","2001-5000","1001-1500"
"76",530,1985,13.5,7.5,2.34005757827221,687.418936446174,"2000","10-19","6-10","2-3","501-1000","501-750"
"77",515,1958,6.8,1.7,1.41625314797601,748.546511627907,"80's","3-9","2-3","2-3","501-1000","501-750"
"78",1100,2005,10.5,0.843,1.51888247761562,1086.95652173913,"2010","10-19","<=1","2-3","1001-2000","1001-1500"
"79",1265,2005,8.5,3,0.645276942986222,2144.06779661017,"2010","3-9","2-3","<=1","2001-5000","1001-1500"
"80",750,2003,28.6,4.1,3.89817720262778,177.514792899408,"2010","20-29","4-5","4-5","2-500","501-750"
"81",472.5,2008,22.7,3.6,2.09491183340179,1059.41704035874,"2010","20-29","4-5","2-3","1001-2000","<=500"
"82",392.5,1990,12.3,7.8,1.13616090486725,737.781954887218,"2000","10-19","6-10","2-3","501-1000","<=500"
"83",900,1990,14.7,0.343,0.831018998879091,1982.37885462555,"2000","10-19","<=1","<=1","1001-2000","751-1000"
"84",380,1994,35,1.2,1.21450517527063,591.90031152648,"2000","30-39","2-3","2-3","501-1000","<=500"
"85",590,2001,6.8,1.6,0.988478210250491,1314.03118040089,"2010","3-9","2-3","<=1","1001-2000","501-750"
"86",835,1985,11.3,0.785,0.802502259853481,1148.55570839065,"2000","10-19","<=1","<=1","1001-2000","751-1000"
"88",390,1994,11,2.1,1.19251767202157,718.232044198895,"2000","10-19","2-3","2-3","501-1000","<=500"
"89",280,1970,31.9,1.5,1.18225710935707,347.394540942928,"80's","30-39","2-3","2-3","2-500","<=500"
"90",355,1974,13.3,0.852,0.944525280478782,372.507869884575,"80's","10-19","<=1","<=1","2-500","<=500"
"91",465,1987,20.8,1.2,1.742052380869,667.144906743185,"2000","20-29","2-3","2-3","501-1000","<=500"
"92",372,1990,17.2,3.5,1.52929958246499,925.373134328358,"2000","10-19","4-5","2-3","501-1000","<=500"
"93",685,1994,16.6,3.6,3.1358636613892,676.877470355731,"2000","10-19","4-5","4-5","501-1000","501-750"
"94",360,2006,10.9,0.442,0.667068519675977,1651.37614678899,"2010","10-19","<=1","<=1","1001-2000","<=500"
"96",492,2008,15.1,6.1,0.866779697791059,1702.42214532872,"2010","10-19","6-10","<=1","1001-2000","<=500"
"97",974,1990,15.2,3.6,1.8571169864609,1271.54046997389,"2000","10-19","4-5","2-3","1001-2000","751-1000"
"98",435,1988,17.8,2,1.64587434645508,409.604519774011,"2000","10-19","2-3","2-3","2-500","<=500"
"100",405,1975,13.9,2.1,0.600502427352423,580.229226361031,"80's","10-19","2-3","<=1","501-1000","<=500"
"101",290,1978,12.4,2.8,1.77215334414638,370.843989769821,"2000","10-19","2-3","2-3","2-500","<=500"
"102",1160,1950,4.6,1.8,0.828355781221949,1826.77165354331,"50's","3-9","2-3","<=1","1001-2000","1001-1500"
"103",415,2004,36.7,1.7,0.47846431508881,747.747747747748,"2010","30-39","2-3","<=1","501-1000","<=500"
"104",525,1984,22.1,0.67,0.275135215688207,692.612137203166,"2000","20-29","<=1","<=1","501-1000","501-750"
"105",629,2012,19.5,6.8,0.705011533132109,1088.23529411765,"2015>=","10-19","6-10","<=1","1001-2000","501-750"
"107",427,2005,16.3,4.2,1.09669094676114,690.938511326861,"2010","10-19","4-5","2-3","501-1000","<=500"
"108",1015,1995,26.1,3.2,1.36473463432977,1114.16026344676,"2000","20-29","4-5","2-3","1001-2000","1001-1500"
"109",445,1991,42.5,1.9,1.17783584130791,595.716198125837,"2000","40-49","2-3","2-3","501-1000","<=500"
"111",465,1988,13.3,10.3,1.09324883796048,579.078455790785,"2000","10-19","11-25","2-3","501-1000","<=500"
"112",454,1993,10.8,2.6,0.49850201670533,833.02752293578,"2000","10-19","2-3","<=1","501-1000","<=500"
"113",380,2000,20.2,5.2,2.33941622477109,739.299610894942,"2000","20-29","6-10","2-3","501-1000","<=500"
"114",382,2005,25.1,3.4,3.12556872651921,952.618453865337,"2010","20-29","4-5","4-5","501-1000","<=500"
"115",1150,2001,7.4,1.1,0.825074470754454,2182.16318785579,"2010","3-9","2-3","<=1","2001-5000","1001-1500"
"117",375,2006,42.9,1.1,1.36224487561175,646.551724137931,"2010","40-49","2-3","2-3","501-1000","<=500"
"118",495,2010,32.6,7.9,0.923652273531118,713.256484149856,"2010","30-39","6-10","<=1","501-1000","<=500"
"119",445,2008,15.9,5.8,0.308294072333392,1360.85626911315,"2010","10-19","6-10","<=1","1001-2000","<=500"
"120",515,2002,12.6,5,1.00087723832543,1144.44444444444,"2010","10-19","4-5","2-3","1001-2000","501-750"
"121",270,2011,32,0.447,1.86223399978435,996.309963099631,"2015>=","30-39","<=1","2-3","501-1000","<=500"
"122",780,1977,22.1,4,1.90975602124447,962.962962962963,"2000","20-29","4-5","2-3","501-1000","751-1000"
"123",1280,1980,7.8,1.5,1.4077351107615,1825.96291012839,"2000","3-9","2-3","2-3","1001-2000","1001-1500"
"124",410,2015,34.6,3.6,1.83441786421454,881.720430107527,"2015>=","30-39","4-5","2-3","501-1000","<=500"
"125",425,1983,11.6,2.9,0.965913853471911,638.138138138138,"2000","10-19","2-3","<=1","501-1000","<=500"
"126",599.9,1968,10.6,0.888,1.19164088631628,743.370508054523,"80's","10-19","<=1","2-3","501-1000","501-750"
"128",732,1990,4.2,0.786,1.89564526139182,2231.70731707317,"2000","3-9","<=1","2-3","2001-5000","501-750"
"129",530,1990,15.8,3.1,0.44786629890593,401.819560272934,"2000","10-19","4-5","<=1","2-500","501-750"
"130",465,2012,8.1,2.4,1.0261506367266,1422.01834862385,"2015>=","3-9","2-3","2-3","1001-2000","<=500"
"131",380,1995,35.1,3.4,0.868965621646784,588.235294117647,"2000","30-39","4-5","<=1","501-1000","<=500"
"132",572,1990,12,0.971,1.36093872321949,1184.26501035197,"2000","10-19","<=1","2-3","1001-2000","501-750"
"134",710.25,1990,10.1,0.956,1.6381013286765,1636.52073732719,"2000","10-19","<=1","2-3","1001-2000","501-750"
"135",835,1986,13.9,2.6,0.480123333835554,1105.96026490066,"2000","10-19","2-3","<=1","1001-2000","751-1000"
"136",400,1978,22.3,2.1,0.66772352235172,585.651537335286,"2000","20-29","2-3","<=1","501-1000","<=500"
"137",275,1988,38.3,0.504,1.20931936718972,361.366622864652,"2000","30-39","<=1","2-3","2-500","<=500"
"138",335,1985,19.7,4.7,1.40376341818918,488.338192419825,"2000","10-19","4-5","2-3","2-500","<=500"
"139",400,2001,13.6,5.2,2.59456066883142,687.285223367698,"2010","10-19","6-10","2-3","501-1000","<=500"
"140",532,2004,15.5,6.2,0.719530581343095,814.701378254211,"2010","10-19","6-10","<=1","501-1000","501-750"
"142",820,2006,10.4,0.329,1.54204815460593,1957.04057279236,"2010","10-19","<=1","2-3","1001-2000","751-1000"
"144",427,2002,36.9,1.6,0.890164438659616,634.472511144131,"2010","30-39","2-3","<=1","501-1000","<=500"
"145",660,1962,4.1,1.3,0.657248103996887,1755.31914893617,"80's","3-9","2-3","<=1","1001-2000","501-750"
"146",250,2017,11.4,2.7,1.57115364763495,261.780104712042,"2015>=","10-19","2-3","2-3","2-500","<=500"
"147",508,1993,18.6,5.7,2.0913038430419,502.970297029703,"2000","10-19","6-10","2-3","501-1000","501-750"
"148",415,1994,12.3,0.721,1.98784123172784,771.375464684015,"2000","10-19","<=1","2-3","501-1000","<=500"
"150",935,2007,27.5,2,2.81193228835521,1500.8025682183,"2010","20-29","2-3","2-3","1001-2000","751-1000"
"151",380,1994,44,1.5,0.767481717420775,500.658761528327,"2000","40-49","2-3","<=1","501-1000","<=500"
"153",470,1998,19.7,0.687,1.66809947311673,670.470756062767,"2000","10-19","<=1","2-3","501-1000","<=500"
"155",577.5,1990,28.8,1.5,3.1936569444535,856.824925816024,"2000","20-29","2-3","4-5","501-1000","501-750"
"156",490,1975,11.1,3,0.862462184862582,700,"80's","10-19","2-3","<=1","501-1000","<=500"
"158",1100,2009,9.1,2.2,1.15866908232749,2115.38461538462,"2010","3-9","2-3","2-3","2001-5000","1001-1500"
"159",1130,2009,19.2,6.3,2.77246999810867,2282.82828282828,"2010","10-19","6-10","2-3","2001-5000","1001-1500"
"161",720,1997,8.7,2.6,1.64044970316162,1363.63636363636,"2000","3-9","2-3","2-3","1001-2000","501-750"
"163",475,1994,19.6,7.7,3.52472581888588,1112.41217798595,"2000","10-19","6-10","4-5","1001-2000","<=500"
"164",545,1984,17.2,3.7,1.67511028306938,741.496598639456,"2000","10-19","4-5","2-3","501-1000","501-750"
"165",317.5,1965,43.8,1.9,0.971267691050537,364.105504587156,"80's","40-49","2-3","<=1","2-500","<=500"
"166",465,2002,6.8,1.9,0.880387755978692,1379.82195845697,"2010","3-9","2-3","<=1","1001-2000","<=500"
"167",449,2004,20.6,1.8,1.00425344026171,894.422310756972,"2010","20-29","2-3","2-3","501-1000","<=500"
"169",450,1990,24.3,3.5,2.3392931376686,765.30612244898,"2000","20-29","4-5","2-3","501-1000","<=500"
"170",525,1969,14.4,0.095,0.396606701840837,864.909390444811,"80's","10-19","<=1","<=1","501-1000","501-750"
"171",900,1982,21.5,7.7,1.01788587865268,418.2156133829,"2000","20-29","6-10","2-3","2-500","751-1000"
"172",950,2009,29.7,4.3,2.66342239271414,306.254029658285,"2010","20-29","4-5","2-3","2-500","751-1000"
"173",375,2000,8.3,4.6,1.93292789959233,876.168224299065,"2000","3-9","4-5","2-3","501-1000","<=500"
"174",522,2002,19.9,3.6,0.882800150402048,814.352574102964,"2010","10-19","4-5","<=1","501-1000","501-750"
"175",464,1986,17.9,2.8,0.895605369248086,662.857142857143,"2000","10-19","2-3","<=1","501-1000","<=500"
"176",550,1990,15,4.2,3.63645759440329,1328.50241545894,"2000","10-19","4-5","4-5","1001-2000","501-750"
"177",490,1989,10.4,3,0.979460750803476,680.555555555556,"2000","10-19","2-3","<=1","501-1000","<=500"
"178",560,2006,6.3,1.7,0.391701266467157,925.619834710744,"2010","3-9","2-3","<=1","501-1000","501-750"
"179",1160,2010,26.9,2.9,2.22472644699823,1666.66666666667,"2010","20-29","2-3","2-3","1001-2000","1001-1500"
"180",460,1997,8.1,2.1,1.57245179592934,1428.57142857143,"2000","3-9","2-3","2-3","1001-2000","<=500"
"181",872,1989,9.3,2,1.18162778866109,847.424684159378,"2000","3-9","2-3","2-3","501-1000","751-1000"
"182",335,2002,34,3.1,0.399485130245324,513.01684532925,"2010","30-39","4-5","<=1","501-1000","<=500"
"183",83,1959,17.6,4.1,2.53753364460008,88.7700534759358,"80's","10-19","4-5","2-3","2-500","<=500"
"184",925,1969,3.9,2.6,0.777093654953477,1167.92929292929,"80's","3-9","2-3","<=1","1001-2000","751-1000"
"185",330,2015,32.5,2.4,0.439372573591563,1625.6157635468,"2015>=","30-39","2-3","<=1","1001-2000","<=500"
"187",547,2009,43.4,5,1.22823888675086,730.307076101469,"2010","40-49","4-5","2-3","501-1000","501-750"
"189",460,1969,10.6,0.634,1.20110450275064,570.01239157373,"80's","10-19","<=1","2-3","501-1000","<=500"
"191",1075,1989,20.6,3.5,0.592588151750316,1390.68564036223,"2000","20-29","4-5","<=1","1001-2000","1001-1500"
"192",465,2007,26.7,3.6,2.56608475107104,1107.14285714286,"2010","20-29","4-5","2-3","1001-2000","<=500"
"193",335,2004,28.8,6.1,0.537154986225068,898.123324396783,"2010","20-29","6-10","<=1","501-1000","<=500"
"194",745,2008,11.7,1.2,1.66300490769097,1612.55411255411,"2010","10-19","2-3","2-3","1001-2000","501-750"
"195",385,2015,15.1,1.7,0.781753308927848,925.480769230769,"2015>=","10-19","2-3","<=1","501-1000","<=500"
"196",480,1980,15,2.3,1.81973651229856,685.714285714286,"2000","10-19","2-3","2-3","501-1000","<=500"
"197",330,2000,11.1,1.9,1.58059771198347,940.17094017094,"2000","10-19","2-3","2-3","501-1000","<=500"
"198",520,1990,9.6,4.5,2.19683613179623,691.489361702128,"2000","3-9","4-5","2-3","501-1000","501-750"
"199",885,2009,19.9,4.7,1.57992705000261,1380.65522620905,"2010","10-19","4-5","2-3","1001-2000","751-1000"
"200",610,2007,16.4,5.5,0.642499771131341,1023.48993288591,"2010","10-19","6-10","<=1","1001-2000","501-750"
"201",830,2001,32.9,2.5,0.935167539010418,1143.25068870523,"2010","30-39","2-3","<=1","1001-2000","751-1000"
"203",485,1970,19.7,10.3,1.13160720585592,486.459378134403,"80's","10-19","11-25","2-3","2-500","<=500"
"204",980,1990,8.6,0.915,0.75893082416499,1960,"2000","3-9","<=1","<=1","1001-2000","751-1000"
"205",769,2005,27.5,2,2.8140065094258,1205.32915360502,"2010","20-29","2-3","2-3","1001-2000","751-1000"
"206",900,1998,34.8,1.2,1.34721742327844,307.272106520997,"2000","30-39","2-3","2-3","2-500","751-1000"
"207",410,1985,17.4,2.9,1.38678272580951,607.407407407407,"2000","10-19","2-3","2-3","501-1000","<=500"
"208",475,2006,33.2,2.2,1.32065615161312,849.731663685152,"2010","30-39","2-3","2-3","501-1000","<=500"
"209",385,1993,14.2,5.2,1.34877369669524,628.058727569331,"2000","10-19","6-10","2-3","501-1000","<=500"
"212",730,2012,16,1.9,0.898705012456218,1267.36111111111,"2015>=","10-19","2-3","<=1","1001-2000","501-750"
"213",560,1990,16.7,8.2,2.86204486641426,211.640211640212,"2000","10-19","6-10","2-3","2-500","501-750"
"214",720,1993,24.7,2.9,1.08378342121413,360,"2000","20-29","2-3","2-3","2-500","501-750"
"215",505,1986,8.1,2.9,0.534727887968604,734.011627906977,"2000","3-9","2-3","<=1","501-1000","501-750"
"216",362.5,1998,15.3,1.4,0.959997636614078,703.883495145631,"2000","10-19","2-3","<=1","501-1000","<=500"
"217",487,1983,22,1.6,0.259519225833144,710.948905109489,"2000","20-29","2-3","<=1","501-1000","<=500"
"218",600,1970,8.3,2.5,0.55208455023623,1578.94736842105,"80's","3-9","2-3","<=1","1001-2000","501-750"
"220",315,1980,40.2,4.6,2.30000388595992,381.818181818182,"2000","40-49","4-5","2-3","2-500","<=500"
"221",990,1990,10.7,4.7,1.02125767435404,1134.0206185567,"2000","10-19","4-5","2-3","1001-2000","751-1000"
"222",428,1980,13.5,1.6,0.870366006826911,533.001245330012,"2000","10-19","2-3","<=1","501-1000","<=500"
"223",620,1995,20.5,9.7,1.62758891889669,447.330447330447,"2000","20-29","6-10","2-3","2-500","501-750"
"224",405,1993,10.6,3.4,0.518001267912135,415.384615384615,"2000","10-19","4-5","<=1","2-500","<=500"
"225",643,1982,14,4.3,0.980934566458567,917.261055634807,"2000","10-19","4-5","<=1","501-1000","501-750"
"226",538,2006,15.6,7.7,0.65036538191643,967.625899280576,"2010","10-19","6-10","<=1","501-1000","501-750"
"228",395,1985,21.3,0.559,1.15531027773078,856.832971800434,"2000","20-29","<=1","2-3","501-1000","<=500"
"229",311.85,2014,28,1.9,1.21498862002868,662.101910828025,"2015>=","20-29","2-3","2-3","501-1000","<=500"
"230",499,1969,15.3,5.4,0.604665642905042,814.029363784666,"80's","10-19","6-10","<=1","501-1000","<=500"
"231",620,2002,17.4,1.9,0.916090584635147,760.736196319018,"2010","10-19","2-3","<=1","501-1000","501-750"
"232",660,2004,30.4,4.3,3.49539905018967,153.595531766349,"2010","30-39","4-5","4-5","2-500","501-750"
"233",560.003,1953,14.4,4,1.18833747810163,1042.83612662942,"80's","10-19","4-5","2-3","1001-2000","501-750"
"234",481,1985,17.3,2.9,0.862769856224283,684.210526315789,"2000","10-19","2-3","<=1","501-1000","<=500"
"237",430,2005,25,3.2,3.18396397631384,754.385964912281,"2010","20-29","4-5","4-5","501-1000","<=500"
"239",450,1985,10.8,6.2,0.602731373300294,622.406639004149,"2000","10-19","6-10","<=1","501-1000","<=500"
"241",705,2000,19.5,9.4,0.677286107645835,705,"2000","10-19","6-10","<=1","501-1000","501-750"
"242",470,2002,26.7,4.6,2.10461834665685,791.245791245791,"2010","20-29","4-5","2-3","501-1000","<=500"
"243",474,1974,21.8,8.8,1.21386344878871,166.257453525079,"80's","20-29","6-10","2-3","2-500","<=500"
"244",515,2015,21.3,6.4,3.30792650198564,1197.67441860465,"2015>=","20-29","6-10","4-5","1001-2000","501-750"
"246",492.5,1987,21.8,0.825,0.838886640067201,669.157608695652,"2000","20-29","<=1","<=1","501-1000","<=500"
"247",565,1990,12.6,4.8,1.83278151155915,895.40412044374,"2000","10-19","4-5","2-3","501-1000","501-750"
"248",280,1990,34,3,0.584669691867841,467.445742904841,"2000","30-39","2-3","<=1","2-500","<=500"
"250",495,2012,16.9,2.2,0.875990036068055,990,"2015>=","10-19","2-3","<=1","501-1000","<=500"
"251",290,1984,11.1,4.2,0.682740154373869,406.162464985994,"2000","10-19","4-5","<=1","2-500","<=500"
"252",365,1984,15.4,6.2,2.04461125972785,521.428571428571,"2000","10-19","6-10","2-3","501-1000","<=500"
"255",910,1986,20,7.3,3.62561358143316,1288.95184135977,"2000","10-19","6-10","4-5","1001-2000","751-1000"
"256",340,1970,39.7,2.6,0.93256234883412,468.965517241379,"80's","30-39","2-3","<=1","2-500","<=500"
"258",650,2013,43.8,4.8,1.4053728234644,904.033379694019,"2015>=","40-49","4-5","2-3","501-1000","501-750"
"259",492,2008,19.3,6.8,0.646108775788315,1103.13901345291,"2010","10-19","6-10","<=1","1001-2000","<=500"
"260",543.8,1996,9.9,0.526,0.48840368823939,1031.87855787476,"2000","3-9","<=1","<=1","1001-2000","501-750"
"261",360,2006,37.3,1,1.02166576080546,633.802816901409,"2010","30-39","<=1","2-3","501-1000","<=500"
"263",210,1992,10.5,3.4,0.534034734235495,393.258426966292,"2000","10-19","4-5","<=1","2-500","<=500"
"264",530,2006,15.7,6.3,0.748265068677379,887.772194304858,"2010","10-19","6-10","<=1","501-1000","501-750"
"265",480,1982,21.7,0.61,0.740029245439542,663.900414937759,"2000","20-29","<=1","<=1","501-1000","<=500"
"266",375,1994,24.6,2.5,0.762653167949979,579.598145285935,"2000","20-29","2-3","<=1","501-1000","<=500"
"267",372.5,1980,41,2.5,0.539521904214781,541.424418604651,"2000","40-49","2-3","<=1","501-1000","<=500"
"268",980,1989,11.3,1.2,0.922865215124581,859.649122807018,"2000","10-19","2-3","<=1","501-1000","751-1000"
"271",435,1997,40.8,3.5,1.34790284387487,769.911504424779,"2000","40-49","4-5","2-3","501-1000","<=500"
"272",508,2003,15.1,7.5,2.20990856314308,905.525846702317,"2010","10-19","6-10","2-3","501-1000","501-750"
"273",315,2014,28,1.8,1.04125236651894,954.545454545455,"2015>=","20-29","2-3","2-3","501-1000","<=500"
"274",740,1989,23.2,3.5,1.17535198175127,872.641509433962,"2000","20-29","4-5","2-3","501-1000","501-750"
"275",493,1990,26.7,2.3,0.795619918987017,1037.89473684211,"2000","20-29","2-3","<=1","1001-2000","<=500"
"278",605,1990,27.9,4.6,0.984299044474049,861.823361823362,"2000","20-29","4-5","<=1","501-1000","501-750"
"279",575,1980,15.3,1.7,1.24176586576839,778.07848443843,"2000","10-19","2-3","2-3","501-1000","501-750"
"280",301,1993,43.5,0.965,1.31180013402431,421.56862745098,"2000","40-49","<=1","2-3","2-500","<=500"
"281",380,1990,13.2,4.8,0.405604556278715,781.893004115226,"2000","10-19","4-5","<=1","501-1000","<=500"
"282",350,1955,17.8,4,2.19832449960622,505.780346820809,"80's","10-19","4-5","2-3","501-1000","<=500"
"283",172,2003,17.7,3.9,2.15692294725178,235.939643347051,"2010","10-19","4-5","2-3","2-500","<=500"
"284",725,2015,21.3,6.3,3.10358706118107,1131.04524180967,"2015>=","20-29","6-10","4-5","1001-2000","501-750"
"285",255,1994,19.8,4.9,2.63381347538576,473.098330241187,"2000","10-19","4-5","2-3","2-500","<=500"
"286",500,2006,25.8,4.6,3.04121673344481,766.871165644172,"2010","20-29","4-5","4-5","501-1000","<=500"
"287",617.5,1990,21.1,2.1,0.515424724935548,854.080221300138,"2000","20-29","2-3","<=1","501-1000","501-750"
"288",520,1999,17.6,3.2,1.61548749019318,621.266427718041,"2000","10-19","4-5","2-3","501-1000","501-750"
"289",300,1969,15.8,1.6,0.411988194520016,352.941176470588,"80's","10-19","2-3","<=1","2-500","<=500"
"291",415,2002,17.8,4.6,2.13905738439191,691.666666666667,"2010","10-19","4-5","2-3","501-1000","<=500"
"293",655,1982,13.5,0.371,1.62763829660903,933.048433048433,"2000","10-19","<=1","2-3","501-1000","501-750"
"294",307,2002,35.2,3.2,0.386834984769939,664.502164502165,"2010","30-39","4-5","<=1","501-1000","<=500"
